1,2,3,4,5
4013,71,10,1,0
4014,72,10,1,0
4015,73,10,1,0
4016,74,10,1,0
4017,75,10,1,0
4018,76,10,1,0
4019,77,10,1,0
4020,78,10,1,0
4021,79,10,1,0
4022,80,10,1,0
4023,81,10,1,0
4024,82,10,1,0
4025,10,80,1,0
4025,11,80,1,0
4025,12,40,1,0
4025,13,40,1,0
4025,25,30,1,0
4025,26,50,1,0
4025,27,50,1,0
4025,60201,5,1,0
4025,60211,5,1,0
4025,60308,5,1,0
4025,60309,5,1,0
4025,60310,5,1,0
4025,10306,25,1,0
4025,10307,25,1,0
4025,20306,25,1,0
4025,20307,25,1,0
4025,40306,25,1,0
4025,40307,25,1,0
5001,25,100,1,0
5001,25,30,1,0
6001,60101,100,1,0
6002,60102,100,1,0
6003,60103,100,1,0
6004,60104,100,1,0
6005,60105,100,1,0
6006,60106,100,1,0
6007,60107,100,1,0
6008,60201,100,1,0
6009,60202,100,1,0
6010,60203,100,1,0
6011,60204,100,1,0
6012,60205,100,1,0
6013,60206,100,1,0
6014,60207,100,1,0
6015,60208,100,1,0
6016,60209,100,1,0
6017,60210,100,1,0
6018,60211,100,1,0
6019,60212,100,1,0
6020,60213,100,1,0
6021,60301,100,1,0
6022,60302,100,1,0
6023,60303,100,1,0
6024,60304,100,1,0
6025,60305,100,1,0
6026,60306,100,1,0
6027,60307,100,1,0
6028,60308,100,1,0
6029,60309,100,1,0
6030,60310,100,1,0
6031,60401,100,1,0
6032,60402,100,1,0
6033,60403,100,1,0
6034,60404,100,1,0
6035,60405,100,1,0
6036,60406,100,1,0
6037,60407,100,1,0
6038,60408,100,1,0
6039,60409,100,1,0
6040,60410,100,1,0
6041,60411,100,1,0
7001,85,100,1,0
7002,86,100,1,0
7003,87,100,1,0
7004,88,100,1,0
7005,89,100,1,0
7006,90,100,1,0
7007,91,100,1,0
7008,92,100,1,0
