,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
3013,13,13,西域高手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3014,"""欧阳风和西域金刚门是至交，之前杀了他的弟子，现在欧阳风带着一群西域高手前来寻仇了。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3014,14,14,星宿海,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3015,"""最近武林又出了一个星宿门，难道是新崛起的邪教？""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3015,15,15,纳贤庄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3016,"""纳贤庄主大发英雄贴，召集各路英雄前去赴会，近日消灭了不少武林邪派，因此也收到了英雄帖。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3016,16,16,大战重阳宫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3017,"""原来纳贤庄是一场鸿门宴，看来只有请全真教的道长为自己主持公道了。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3017,17,17,大闹梅庄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3018,"""终于找到了邪教的老巢，前去消灭他们。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3018,18,18,侠客岛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3019,"""侠客岛岛主有请英雄前去赴会，但愿不会又是鸿门宴。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3019,19,19,珍珑棋局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3020,"""相传飘渺派掌门在寻找门派继承人，不如去探个究竟吧。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3020,20,20,神木崖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3021,"""邪教的余党居然在神木崖重新集结了起来，听说还推举了新教主。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3021,21,21,缥缈峰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3022,"""早闻缥缈峰与邪教结盟，危害武林，控制了武林中不少的门派，此次前去需要万分小心。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3022,22,22,藏经阁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023,"""英雄最近消灭了邪教无数，但和少林的误会却未解开，此次需去少林化解误会。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3023,23,23,丐帮大会,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3024,"""和少林的误会反而越来越深，还是先去丐帮解除误会吧。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3024,24,24,决战少林,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3025,"""终于解除了和丐帮的误会，少林寺为了解除武林因邪教挑拨引起的误会，主动邀请各路英雄前往少林。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3025,25,25,绝世侠侣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3026,"""终于解除了和少林的误会，武林中有不少佳偶，久闻英雄威名，想和英雄切磋一下武艺，其中还有不少故人。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
3026,26,26,群侠比剑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""又到了一年一度的群侠比剑了，战胜到场的所有高手后能获得天下第一的称号。""",0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0
300101,1,1,误闯无量峰,1,401,1,50401,1,166,193,130,0,301,1,50402,1,120,193,175,0,303,1,50403,1,102,229,157,0,306,1,50407,1,125,216,148,0,0,1,0,1,189,198,102,0,0,1,0,1,102,211,175,0,0,1,0,1,116,207,166,0,1,99,40,28,200,0,0,0,0,0,0,0,0,4004,0,0,1,300102,"""“来者何人，是不是邪教的余党。”""",0,0,0,3,2000,0,0,0,3,8052,1,0,0,100,100,100,100,100,0,100
300102,1,2,无量弟子,1,402,1,50402,1,182,182,187,0,302,1,50403,1,171,268,110,0,304,1,50404,1,161,258,130,0,308,1,50408,1,115,207,228,0,0,1,0,1,197,125,228,0,0,1,0,1,120,192,238,0,0,1,0,1,161,253,136,0,1,99,40,28,200,0,0,0,0,0,0,0,0,4004,0,0,1,300106,"""“你是贼人派来的救兵吗？”""",0,0,0,3,2000,0,0,0,3,6,1,0,0,100,100,100,100,100,0,100
300106,1,6,无量掌门,1,60213,2,50403,1,252,239,233,0,303,3,50404,1,182,315,226,0,305,3,50405,1,264,118,341,0,309,3,50409,1,163,290,271,0,0,3,0,1,284,220,220,0,0,3,0,1,233,277,214,0,0,3,0,1,277,309,137,0,3,10,123,86,600,100,20001,0,0,0,0,0,0,4004,3001,0,1,300201,"""“来者何人？怎么最近那么多邪教人士对我派无量玉璧感兴趣。”""",0,0,0,3,2000,0,300106,400106,3,6,1,0,0,100,100,100,100,100,0,100
300201,2,1,桃花岛仆役,1,403,2,50404,1,125,196,257,0,304,4,50405,1,176,196,206,0,306,4,50406,1,140,257,181,0,310,4,50410,1,161,156,262,0,0,4,0,1,156,171,252,0,0,4,0,1,151,191,237,0,0,4,0,1,140,171,267,0,1,99,41,28,200,0,0,0,0,30,0,0,0,4004,0,0,1,300205,"""桃花岛上尽是哑巴仆役，定是桃花岛主有意为之。""",0,0,0,3,2000,0,0,0,5,0,1400,0,0,100,100,100,100,100,0,100
300205,2,5,梅超枫,1,60101,3,50101,1,203,226,273,0,305,6,50406,1,167,250,285,0,308,6,50407,1,179,197,326,0,314,6,50411,1,238,214,250,0,0,6,0,1,238,179,285,0,0,6,0,1,232,262,208,0,0,6,0,1,208,238,256,0,2,10,84,58,400,100,40001,0,0,30,0,0,0,4004,3001,0,1,300208,"""没想到江湖恶人铁尸梅超疯竟然躲在桃花岛上，赶紧为武林除害。""",0,0,0,3,2000,0,300205,400205,3,5,1,0,0,100,100,100,100,100,0,100
300208,2,8,穆念慈,1,60106,3,50406,1,187,237,311,0,306,8,50407,1,194,348,194,0,309,8,50408,1,237,255,243,0,316,8,50401,1,212,218,305,0,0,8,0,1,231,200,305,0,0,8,0,1,237,175,323,0,0,8,0,1,169,342,225,0,3,10,126,88,600,100,10002,0,0,30,0,0,0,4004,3001,0,1,300209,"""穆念慈哭的梨花带雨，她到底发生了什么？""",0,0,0,3,2000,0,300208,400208,3,8,1,0,0,100,100,100,100,100,0,100
300209,2,9,蓉儿,1,60201,4,50201,1,237,398,314,0,308,9,50408,1,368,344,237,0,310,9,50409,1,260,275,414,0,317,9,50402,1,306,314,329,0,0,9,0,1,291,267,391,0,0,9,0,1,352,206,391,0,0,9,0,1,229,329,391,0,4,10,172,120,800,80,20002,0,0,30,0,0,0,4004,3001,0,1,300301,"""原来是桃花岛主女儿蓉儿，此人聪明伶俐，要小心她的暗器。""",0,0,0,3,2000,0,300209,400209,3,9,1,0,0,100,100,100,100,100,0,100
300301,3,1,拜访天龙寺,1,404,4,50408,1,263,312,183,0,309,9,50409,1,238,349,171,0,314,9,50410,1,232,257,269,0,318,9,50403,1,208,208,343,0,0,9,0,1,269,349,140,0,0,9,0,1,282,269,208,0,0,9,0,1,189,257,312,0,1,99,43,30,200,0,0,0,0,30,0,0,0,4004,0,0,1,300302,"""到天龙寺去拜访一下。""",0,0,0,2,3000,61,0,0,5,0,1800,0,0,100,100,100,100,100,0,100
300302,3,2,天龙弟子,1,405,5,50409,1,330,400,161,0,310,10,50410,1,210,386,295,0,316,10,50411,1,323,175,393,0,319,10,50404,1,309,295,288,0,0,10,0,1,252,259,379,0,0,10,0,1,217,393,281,0,0,10,0,1,330,154,407,0,1,99,44,30,400,0,0,0,0,30,0,0,100,4004,0,0,1,300303,"""“你就是吐蕃国师吗？竟敢窥探我寺无上至宝。”""",0,0,0,2,2000,61,0,0,5,0,1800,0,0,100,100,100,100,100,0,100
300303,3,3,天龙弟子二,1,406,6,50410,1,365,445,222,0,314,11,50411,1,365,310,357,0,317,11,50401,1,238,334,461,0,320,11,50405,1,389,318,326,0,0,11,0,1,342,270,421,0,0,11,0,1,373,429,230,0,0,11,0,1,334,278,421,0,2,99,90,63,800,100,50005,0,0,30,0,0,200,4004,0,0,1,300304,"""“待我去禀报掌门方丈。”""",0,0,0,2,2000,61,0,0,3,5,1,0,0,100,100,100,100,100,0,100
300304,3,4,天龙高手,1,407,7,50411,1,427,481,275,0,316,11,50401,1,400,275,508,0,318,11,50402,1,338,302,543,0,301,11,50404,1,293,445,445,0,0,11,0,1,365,427,391,0,0,11,0,1,365,391,427,0,0,11,0,1,454,329,400,0,2,99,92,64,800,0,0,0,0,30,0,0,200,4004,0,0,1,300305,"""“我寺和施主无冤无仇，施主何故来侵犯我寺。”""",0,0,0,2,2000,61,0,0,3,5,1,0,0,100,100,100,100,100,0,100
300305,3,5,一场误会,1,309,8,50401,1,444,354,544,0,317,12,50402,1,394,574,374,0,319,12,50403,1,384,514,444,0,301,12,50001,1,324,604,414,0,0,12,0,1,354,574,414,0,0,12,0,1,364,454,524,0,0,12,0,1,394,604,344,0,2,99,94,65,800,100,50002,0,0,30,0,0,200,4004,0,0,1,300306,"""“原来是场误会，既然施主远道而来，不如在寺内休息一番，顺便切磋一下。”""",0,0,0,2,2000,61,0,0,5,0,2000,0,0,100,100,100,100,100,0,100
300306,3,6,钟玲,1,60004,9,50402,1,434,622,456,0,318,12,50403,1,511,422,578,0,320,12,50404,1,500,356,655,0,302,12,50001,1,456,644,411,0,0,12,0,1,467,600,445,0,0,12,0,1,356,566,589,0,0,12,0,1,378,677,456,0,3,5,144,100,1200,100,10003,0,0,30,0,0,300,4004,3001,0,1,300307,"""“不要打扰，我哥哥在这练功！”""",0,0,0,2,2000,61,300306,400306,3,8,1,2500,4,100,100,100,100,100,1,100
300307,3,7,大理段氏,1,408,10,50403,1,411,373,514,0,319,13,50404,1,336,411,552,0,301,13,50405,1,449,308,543,0,304,13,50001,1,383,496,420,0,0,13,0,1,373,373,552,0,0,13,0,1,392,552,355,0,0,13,0,1,383,439,477,0,3,99,147,102,1800,100,20003,0,0,30,0,0,300,4004,0,0,1,300308,"""原来天龙寺高手都是大理段氏皇帝让位出家而来，果然都是仁义之人。""",0,0,0,2,2000,61,0,0,5,0,2000,0,0,100,100,100,100,100,0,100
300308,3,8,六道剑阵,1,316,11,50404,1,379,339,705,0,320,14,50405,1,502,563,359,0,301,14,50404,1,390,481,553,0,401,14,50001,1,400,644,379,0,0,14,0,1,420,390,614,0,0,14,0,1,339,440,644,0,0,14,0,1,481,400,542,0,3,99,150,105,1800,100,50001,0,0,30,0,0,300,4004,0,0,1,300309,"""既然已来本寺，不如见识一下大理神技六道神剑。""",0,0,0,2,2000,61,0,0,3,26,1,0,0,100,100,100,100,100,0,100
300309,3,9,六道剑阵二,1,410,12,50405,1,514,569,470,0,403,14,50404,1,404,690,459,0,302,14,50001,1,437,668,448,0,301,14,50001,1,437,701,415,0,0,14,0,1,525,690,338,0,0,14,0,1,448,635,470,0,0,14,0,1,404,591,558,0,4,99,204,142,2400,0,0,0,0,30,0,0,400,4004,0,0,1,300310,"""六道神剑果然名不虚传，要千万小心。""",0,0,0,2,2000,61,0,0,5,0,2200,0,0,100,100,100,100,100,0,100
300310,3,10,段公子,1,60404,13,50404,1,704,553,704,0,406,15,50001,1,649,663,649,0,304,15,50001,1,690,484,787,0,302,15,50102,1,525,649,787,0,0,15,0,1,704,787,470,0,0,15,0,1,566,580,814,0,0,15,0,1,622,814,525,0,4,5,208,145,2400,40,10101,0,0,30,0,0,400,4004,3001,0,1,300401,"""段公子精通六道神剑，乃大理段氏第一高手。""",0,0,0,2,2000,61,300310,400310,3,9,1,2500,40,100,100,100,100,100,1,100
300401,4,1,丐帮弟子,1,301,14,50001,1,572,503,584,0,201,15,50001,1,595,607,457,0,208,15,50001,1,491,584,584,0,211,15,50001,1,468,468,722,0,0,15,0,1,595,653,410,0,0,15,0,1,618,387,653,0,0,15,0,1,445,711,503,0,1,99,53,37,600,0,0,0,0,30,0,0,100,4004,0,6001,1,300402,"""抓个丐帮弟子问问他帮主的所在地。""",0,0,0,5,2000,61,0,0,5,0,1800,0,0,100,100,100,100,100,0,100
300402,4,2,丐帮叛徒,1,302,15,50001,1,444,792,556,0,202,16,50001,1,469,606,717,0,209,16,50001,1,494,618,680,0,212,16,50001,1,432,693,668,0,0,16,0,1,668,444,680,0,0,16,0,1,444,544,804,0,0,16,0,1,432,568,792,0,1,99,54,37,800,0,0,0,0,30,0,0,100,4004,0,6001,1,300403,"""这些丐帮的叛徒和逼走前任掌门有关，给他们点颜色瞧瞧。""",0,0,0,5,2000,61,0,0,5,0,1800,0,0,100,100,100,100,100,0,100
300403,4,3,丐帮弟子二,1,303,16,50001,1,546,719,666,0,203,17,50001,1,480,705,745,0,210,17,50001,1,573,613,745,0,213,17,50111,1,732,453,745,0,0,17,0,1,533,825,573,0,0,17,0,1,546,732,652,0,0,17,0,1,652,480,798,0,2,99,110,77,1600,100,50002,0,0,30,0,0,200,4004,0,6001,1,300404,"""抓几个丐帮弟子，问出他们帮主所在。""",0,0,0,5,2000,61,0,0,5,0,1600,0,0,100,100,100,100,100,0,100
300404,4,4,丐帮叛徒二,1,304,17,50001,1,771,375,927,0,204,17,50001,1,771,431,871,0,211,17,50102,1,771,531,771,0,214,17,50004,1,587,715,771,0,0,17,0,1,686,786,601,0,0,17,0,1,516,644,913,0,0,17,0,1,757,616,701,0,2,99,112,78,1600,0,0,0,0,30,0,0,200,4004,0,6001,1,300405,"""全冠清是整件事情的始作俑者，决不能姑息他。""",0,0,0,5,2000,61,0,0,5,0,1600,0,0,100,100,100,100,100,0,100
300405,4,5,丐帮弟子三,1,305,18,50001,1,841,780,599,0,205,18,50102,1,841,916,463,0,212,18,50001,1,539,826,856,0,215,18,50001,1,811,463,946,0,0,18,0,1,645,614,962,0,0,18,0,1,690,629,901,0,0,18,0,1,796,977,448,0,2,99,114,79,1600,0,0,0,0,30,0,0,200,4004,0,6001,1,300406,"""丐帮果然天下第一大帮，人实在是太多了。""",0,0,0,5,2000,61,0,0,5,0,1600,0,0,100,100,100,100,100,0,100
300406,4,6,柯惩恶,1,60102,18,50102,1,582,860,829,0,206,18,50001,1,675,968,628,0,213,18,50001,1,644,690,937,0,216,18,50005,1,567,690,1014,0,0,18,0,1,783,474,1014,0,0,18,0,1,567,937,767,0,0,18,0,1,613,814,844,0,3,5,171,119,2400,30,20101,30,50002,30,0,0,300,4004,3001,6001,1,300407,"""柯惩恶难道也加入了丐帮吗？。""",0,0,0,5,2000,61,300406,400406,3,5,1,2500,8,100,100,100,100,100,1,100
300407,4,7,丐帮护法,1,206,19,50001,1,868,704,852,0,207,19,50001,1,868,983,573,0,214,19,50111,1,721,803,901,0,217,19,50002,1,721,737,967,0,0,19,0,1,672,901,852,0,0,19,0,1,852,1082,491,0,0,19,0,1,803,540,1082,0,3,99,174,121,2400,0,0,0,0,30,0,0,300,4004,0,6001,1,300408,"""“不要污蔑掌门，掌门怎么可能做出忤逆之事。”""",0,0,0,5,2000,61,0,0,5,0,2400,0,0,100,100,100,100,100,0,100
300408,4,8,丐帮护法二,1,207,20,50001,2,908,803,873,0,208,20,50111,2,855,838,890,0,215,20,50004,2,664,1081,838,0,218,20,50211,2,716,942,925,0,0,20,0,2,768,1116,699,0,0,20,0,2,699,890,994,0,0,20,0,2,716,1047,821,0,3,99,177,123,3000,0,0,0,0,30,0,0,300,4004,0,6001,1,300409,"""终于让长老相信了，请长老带去见掌门吧。""",0,0,0,5,2000,61,0,0,5,0,3000,0,0,100,100,100,100,100,0,100
300409,4,9,友坦之,1,60107,20,50111,2,1255,1592,726,0,209,20,50004,2,870,1592,1111,0,216,20,50001,2,1231,1592,750,0,219,20,50004,2,1087,1183,1303,0,0,20,0,2,1352,1400,822,0,0,20,0,2,1327,702,1544,0,0,20,0,2,1352,1183,1039,0,4,5,236,165,4000,40,40101,40,50003,30,0,0,400,4004,3001,6001,1,300501,"""终于找到了新任帮主友坦之，赶紧除掉他。""",0,0,0,5,2000,61,300409,400409,3,8,1,2500,13,100,100,100,100,100,1,100
300501,5,1,护院家丁,1,208,21,50004,2,1183,1091,1160,0,210,21,50001,2,907,1505,1022,0,217,21,50005,2,1091,861,1482,0,220,21,50003,2,1114,1436,884,0,0,21,0,2,1160,1229,1045,0,0,21,0,2,1137,1160,1137,0,0,21,0,2,1068,1459,907,0,1,99,60,42,1000,0,0,0,0,30,0,0,100,4004,0,6001,1,300502,"""“我家公子不在，客人请回吧。”""",0,0,0,6,2000,61,0,0,5,0,1000,0,0,100,100,100,100,100,0,100
300502,5,2,风四,1,111,21,50001,2,852,828,1811,0,211,21,50005,2,1203,1015,1273,0,218,21,50002,2,992,1320,1179,0,301,21,50003,2,1273,1437,781,0,0,21,0,2,852,1320,1320,0,0,21,0,2,1132,1132,1226,0,0,21,0,2,1109,1062,1320,0,1,99,60,42,1000,0,0,0,0,30,0,0,100,4004,0,6001,1,300503,"""风波恶是慕容家四大家将，轻功相当了得，要小心应战。""",0,0,0,6,2000,61,0,0,5,0,1000,0,0,100,100,100,100,100,0,100
300503,5,3,护院家丁二,1,209,22,50005,2,1073,1221,1393,0,212,22,50002,2,1073,1615,999,0,219,22,50211,2,950,1172,1566,0,302,22,50207,2,1393,1295,999,0,0,22,0,2,1098,950,1639,0,0,22,0,2,1393,1295,999,0,0,22,0,2,1246,1123,1319,0,2,99,122,85,2000,0,0,0,0,30,0,0,200,4004,0,6001,1,300504,"""“风先生赶紧回去禀告公子，这里就让小的们顶着。”""",0,0,0,6,2000,61,0,0,5,0,2000,0,0,100,100,100,100,100,0,100
