1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
200020,强者之路,2,11,0,0,0,0,150,0,39000,0,0,0,0,500,0,0,0,达到150级,0,0,0,强者之路,0
201001,潜心修行,2,12,0,0,0,0,10,0,1000,0,0,0,0,0,0,0,0,有侠客达到10级,0,201002,0,潜心修行,0
201002,潜心修行,2,12,0,0,0,0,20,0,1500,0,0,0,0,500,0,0,0,有侠客达到20级,0,201003,0,潜心修行,0
201003,潜心修行,2,12,0,0,0,0,30,0,2000,0,0,0,0,500,0,0,0,有侠客达到30级,0,201004,0,潜心修行,0
201004,潜心修行,2,12,0,0,0,0,40,0,2500,0,0,0,0,500,0,0,0,有侠客达到40级,0,201005,0,潜心修行,0
201005,潜心修行,2,12,0,0,0,0,50,0,3000,0,0,0,0,500,0,0,0,有侠客达到50级,0,201006,0,潜心修行,0
201006,潜心修行,2,12,0,0,0,0,60,0,3500,0,0,0,0,500,0,0,0,有侠客达到60级,0,201007,0,潜心修行,0
201007,潜心修行,2,12,0,0,0,0,70,0,4000,0,0,0,0,500,0,0,0,有侠客达到70级,0,201008,0,潜心修行,0
201008,潜心修行,2,12,0,0,0,0,80,0,4500,0,0,0,0,500,0,0,0,有侠客达到80级,0,201009,0,潜心修行,0
201009,潜心修行,2,12,0,0,0,0,90,0,5000,0,0,0,0,500,0,0,0,有侠客达到90级,0,201010,0,潜心修行,0
201010,潜心修行,2,12,0,0,0,0,100,0,5500,0,0,0,0,500,0,0,0,有侠客达到100级,0,201011,0,潜心修行,0
201011,潜心修行,2,12,0,0,0,0,110,0,6000,0,0,0,0,500,0,0,0,有侠客达到110级,0,201012,0,潜心修行,0
201012,潜心修行,2,12,0,0,0,0,120,0,6500,0,0,0,0,500,0,0,0,有侠客达到120级,0,201013,0,潜心修行,0
201013,潜心修行,2,12,0,0,0,0,130,0,7000,0,0,0,0,500,0,0,0,有侠客达到130级,0,201014,0,潜心修行,0
201014,潜心修行,2,12,0,0,0,0,140,0,7500,0,0,0,0,500,0,0,0,有侠客达到140级,0,201015,0,潜心修行,0
201015,潜心修行,2,12,0,0,0,0,150,0,8000,0,0,0,0,500,0,0,0,有侠客达到150级,0,201016,0,潜心修行,0
201016,潜心修行,2,12,0,0,0,0,160,0,8500,0,0,0,0,500,0,0,0,有侠客达到160级,0,201017,0,潜心修行,0
201017,潜心修行,2,12,0,0,0,0,170,0,9000,0,0,0,0,500,0,0,0,有侠客达到170级,0,201018,0,潜心修行,0
201018,潜心修行,2,12,0,0,0,0,180,0,9500,0,0,0,0,500,0,0,0,有侠客达到180级,0,201019,0,潜心修行,0
201019,潜心修行,2,12,0,0,0,0,190,0,10000,0,0,0,0,500,0,0,0,有侠客达到190级,0,201020,0,潜心修行,0
201020,潜心修行,2,12,0,0,0,0,200,0,10500,0,0,0,0,500,0,0,0,有侠客达到200级,0,201021,0,潜心修行,0
201021,潜心修行,2,12,0,0,0,0,210,0,11000,0,0,0,0,500,0,0,0,有侠客达到210级,0,201022,0,潜心修行,0
201022,潜心修行,2,12,0,0,0,0,220,0,11500,0,0,0,0,500,0,0,0,有侠客达到220级,0,201023,0,潜心修行,0
201023,潜心修行,2,12,0,0,0,0,230,0,12000,0,0,0,0,500,0,0,0,有侠客达到230级,0,201024,0,潜心修行,0
201024,潜心修行,2,12,0,0,0,0,240,0,12500,0,0,0,0,500,0,0,0,有侠客达到240级,0,201025,0,潜心修行,0
201025,潜心修行,2,12,0,0,0,0,250,0,13000,0,0,0,0,500,0,0,0,有侠客达到250级,0,201026,0,潜心修行,0
201026,潜心修行,2,12,0,0,0,0,260,0,13500,0,0,0,0,500,0,0,0,有侠客达到260级,0,201027,0,潜心修行,0
201027,潜心修行,2,12,0,0,0,0,270,0,14000,0,0,0,0,500,0,0,0,有侠客达到270级,0,201028,0,潜心修行,0
201028,潜心修行,2,12,0,0,0,0,280,0,14500,0,0,0,0,500,0,0,0,有侠客达到280级,0,201029,0,潜心修行,0
201029,潜心修行,2,12,0,0,0,0,290,0,15000,0,0,0,0,500,0,0,0,有侠客达到290级,0,201030,0,潜心修行,0
201030,潜心修行,2,12,0,0,0,0,300,0,15500,0,0,0,0,500,0,0,0,有侠客达到300级,0,201031,0,潜心修行,0
201031,潜心修行,2,12,0,0,0,0,320,0,16000,0,0,0,0,500,0,0,0,有侠客达到320级,0,201032,0,潜心修行,0
201032,潜心修行,2,12,0,0,0,0,340,0,16500,0,0,0,0,500,0,0,0,有侠客达到340级,0,201033,0,潜心修行,0
201033,潜心修行,2,12,0,0,0,0,360,0,17000,0,0,0,0,500,0,0,0,有侠客达到360级,0,201034,0,潜心修行,0
201034,潜心修行,2,12,0,0,0,0,380,0,17500,0,0,0,0,500,0,0,0,有侠客达到380级,0,201035,0,潜心修行,0
201035,潜心修行,2,12,0,0,0,0,400,0,18000,0,0,0,0,500,0,0,0,有侠客达到400级,0,201036,0,潜心修行,0
201036,潜心修行,2,12,0,0,0,0,420,0,18500,0,0,0,0,500,0,0,0,有侠客达到420级,0,0,0,潜心修行,0
202001,激战！左掌门,2,9,0,0,0,300106,1,1,1000,0,0,2,0,0,0,0,0,战胜左掌门,0,202002,0,闯荡江湖,0
202002,激战！梅超枫,2,9,0,0,0,300205,1,1,1100,0,0,2,0,0,0,0,0,战胜梅超枫,0,202003,0,闯荡江湖,0
202003,激战！穆念慈,2,9,0,0,0,300208,1,1,1200,0,0,2,0,0,0,0,0,战胜穆念慈,0,202004,0,闯荡江湖,0
202004,激战！蓉儿,2,9,0,0,0,300209,1,1,1300,0,0,2,0,0,0,0,0,战胜蓉儿,0,202005,0,闯荡江湖,0
202005,激战！钟玲,2,9,0,0,0,300306,1,1,1400,0,0,2,0,0,0,0,0,战胜钟玲,0,202006,0,闯荡江湖,0
202006,激战！段公子,2,9,0,0,0,300310,1,1,1500,0,0,2,0,200,0,0,0,战胜段公子,0,202007,0,闯荡江湖,0
202007,激战！柯惩恶,2,9,0,0,0,300406,1,1,1600,0,0,2,0,200,0,0,0,战胜柯惩恶,0,202008,0,闯荡江湖,0
202008,激战！友坦之,2,9,0,0,0,300409,1,1,1700,0,0,2,0,200,0,0,0,战胜友坦之,0,202009,0,闯荡江湖,0
202009,激战！裘千仁,2,9,0,0,0,300505,1,1,1800,0,0,2,0,200,0,0,0,战胜裘千仁,0,202010,0,闯荡江湖,0
202010,激战！慕容富,2,9,0,0,0,300509,1,1,1900,0,0,2,0,200,0,0,0,战胜慕容富,0,202011,0,闯荡江湖,0
202011,激战！玄悲,2,9,0,0,0,300604,1,1,2000,0,0,2,0,200,0,0,0,战胜玄悲,0,202012,0,闯荡江湖,0
202012,激战！大轮明王,2,9,0,0,0,300609,1,1,2100,0,0,2,0,200,0,0,0,战胜大轮明王,0,202013,0,闯荡江湖,0
202013,激战！丘处机,2,9,0,0,0,300705,1,1,2200,0,0,2,0,200,0,0,0,战胜丘处机,0,202014,0,闯荡江湖,0
202014,激战！老顽童,2,9,0,0,0,300708,1,1,2300,0,0,2,0,200,0,0,0,战胜老顽童,0,202015,0,闯荡江湖,0
202015,激战！王真人,2,9,0,0,0,300709,1,1,2400,0,0,2,0,200,0,0,0,战胜王真人,0,202016,0,闯荡江湖,0
202016,激战！纪筱芙,2,9,0,0,0,300806,1,1,2500,0,0,2,0,200,0,0,0,战胜纪筱芙,0,202017,0,闯荡江湖,0
202017,激战！莫愁仙子,2,9,0,0,0,300808,1,1,2600,0,0,2,0,200,0,0,0,战胜莫愁仙子,0,202018,0,闯荡江湖,0
202018,激战！左掌门,2,9,0,0,0,300907,1,1,2700,0,0,2,0,200,0,0,0,战胜左掌门,0,202019,0,闯荡江湖,0
202019,激战！岳掌门,2,9,0,0,0,300911,1,1,2800,0,0,2,0,200,0,0,0,战胜岳掌门,0,202020,0,闯荡江湖,0
202020,激战！波斯圣女,2,9,0,0,0,301008,1,1,2900,0,0,2,0,200,0,0,0,战胜波斯圣女,0,202021,0,闯荡江湖,0
202021,激战！张教主,2,9,0,0,0,301009,1,1,3000,0,0,2,0,200,0,0,0,战胜张教主,0,202022,0,闯荡江湖,0
202022,激战！玄悲,2,9,0,0,0,301106,1,1,3100,0,0,2,0,200,0,0,0,战胜玄悲,0,202023,0,闯荡江湖,0
202023,激战！成琨,2,9,0,0,0,301108,1,1,3200,0,0,2,0,200,0,0,0,战胜成琨,0,202024,0,闯荡江湖,0
202024,激战！玄冥二老,2,9,0,0,0,301209,1,1,3300,0,0,2,0,200,0,0,0,战胜玄冥二老,0,202025,0,闯荡江湖,0
202025,激战！赵敏,2,9,0,0,0,301210,1,1,3400,0,0,2,0,200,0,0,0,战胜赵敏,0,202026,0,闯荡江湖,0
202026,激战！金仑法王,2,9,0,0,0,301304,1,1,3500,0,0,2,0,200,0,0,0,战胜金仑法王,0,202027,0,闯荡江湖,0
202027,激战！大轮明王,2,9,0,0,0,301307,1,1,3600,0,0,2,0,200,0,0,0,战胜大轮明王,0,202028,0,闯荡江湖,0
202028,激战！欧阳风,2,9,0,0,0,301310,1,1,3700,0,0,2,0,200,0,0,0,战胜欧阳风,0,202029,0,闯荡江湖,0
202029,激战！鱼潜潜,2,9,0,0,0,301406,1,1,3800,0,0,2,0,200,0,0,0,战胜鱼潜潜,0,202030,0,闯荡江湖,0
202030,激战！星宿老仙,2,9,0,0,0,301410,1,1,3900,0,0,2,0,200,0,0,0,战胜星宿老仙,0,202031,0,闯荡江湖,0
202031,激战！友坦之,2,9,0,0,0,301506,1,1,4000,0,0,2,0,200,0,0,0,战胜友坦之,0,202032,0,闯荡江湖,0
202032,激战！萧锋,2,9,0,0,0,301510,1,1,4100,0,0,2,0,200,0,0,0,战胜萧锋,0,202033,0,闯荡江湖,0
202033,激战！金仑法王,2,9,0,0,0,301606,1,1,4200,0,0,2,0,200,0,0,0,战胜金仑法王,0,202034,0,闯荡江湖,0
202034,激战！龙姑娘,2,9,0,0,0,301610,1,1,4300,0,0,2,0,200,0,0,0,战胜龙姑娘,0,202035,0,闯荡江湖,0
202035,激战！向问天,2,9,0,0,0,301706,1,1,4400,0,0,2,0,200,0,0,0,战胜向问天,0,202036,0,闯荡江湖,0
202036,激战！任莹莹,2,9,0,0,0,301708,1,1,4500,0,0,2,0,200,0,0,0,战胜任莹莹,0,202037,0,闯荡江湖,0
202037,激战！任我刑,2,9,0,0,0,301709,1,1,4600,0,0,2,0,200,0,0,0,战胜任我刑,0,202038,0,闯荡江湖,0
202038,激战！令狐少侠,2,9,0,0,0,301710,1,1,4700,0,0,2,0,200,0,0,0,战胜令狐少侠,0,202039,0,闯荡江湖,0
202039,激战！玄冥二老,2,9,0,0,0,301806,1,1,4800,0,0,2,0,200,0,0,0,战胜玄冥二老,0,202040,0,闯荡江湖,0
202040,激战！任我刑,2,9,0,0,0,301809,1,1,4900,0,0,2,0,200,0,0,0,战胜任我刑,0,202041,0,闯荡江湖,0
202041,激战！石惊天,2,9,0,0,0,301810,1,1,5000,0,0,2,0,200,0,0,0,战胜石惊天,0,202042,0,闯荡江湖,0
202042,激战！星宿老仙,2,9,0,0,0,301908,1,1,5100,0,0,2,0,200,0,0,0,战胜星宿老仙,0,202043,0,闯荡江湖,0
202043,激战！无厓子,2,9,0,0,0,301909,1,1,5200,0,0,2,0,200,0,0,0,战胜无厓子,0,202044,0,闯荡江湖,0
202044,激战！虚竺,2,9,0,0,0,301910,1,1,5300,0,0,2,0,200,0,0,0,战胜虚竺,0,202045,0,闯荡江湖,0
202045,激战！向问天,2,9,0,0,0,302003,1,1,5400,0,0,2,0,200,0,0,0,战胜向问天,0,202046,0,闯荡江湖,0
202046,激战！任莹莹,2,9,0,0,0,302006,1,1,5500,0,0,2,0,200,0,0,0,战胜任莹莹,0,202047,0,闯荡江湖,0
202047,激战！任我刑,2,9,0,0,0,302009,1,1,5600,0,0,2,0,200,0,0,0,战胜任我刑,0,202048,0,闯荡江湖,0
202048,激战！东方不败,2,9,0,0,0,302010,1,1,5700,0,0,2,0,200,0,0,0,战胜东方不败,0,202049,0,闯荡江湖,0
202049,激战！离秋水,2,9,0,0,0,302103,1,1,5800,0,0,2,0,200,0,0,0,战胜离秋水,0,202050,0,闯荡江湖,0
202050,激战！飘渺童姥,2,9,0,0,0,302108,1,1,5900,0,0,2,0,200,0,0,0,战胜飘渺童姥,0,202051,0,闯荡江湖,0
202051,激战！无厓子,2,9,0,0,0,302109,1,1,6000,0,0,2,0,200,0,0,0,战胜无厓子,0,202052,0,闯荡江湖,0
202052,激战！无厓子,2,9,0,0,0,302110,1,1,6100,0,0,2,0,200,0,0,0,战胜无厓子,0,202053,0,闯荡江湖,0
202053,激战！大轮明王,2,9,0,0,0,302202,1,1,6200,0,0,2,0,200,0,0,0,战胜大轮明王,0,202054,0,闯荡江湖,0
202054,激战！慕容富,2,9,0,0,0,302204,1,1,6300,0,0,2,0,200,0,0,0,战胜慕容富,0,202055,0,闯荡江湖,0
202055,激战！萧锋,2,9,0,0,0,302206,1,1,6400,0,0,2,0,200,0,0,0,战胜萧锋,0,202056,0,闯荡江湖,0
202056,激战！慕容富,2,9,0,0,0,302208,1,1,6500,0,0,2,0,200,0,0,0,战胜慕容富,0,202057,0,闯荡江湖,0
202057,激战！萧锋,2,9,0,0,0,302209,1,1,6600,0,0,2,0,200,0,0,0,战胜萧锋,0,202058,0,闯荡江湖,0
202058,激战！扫地神僧,2,9,0,0,0,302210,1,1,6700,0,0,2,0,200,0,0,0,战胜扫地神僧,0,202059,0,闯荡江湖,0
202059,激战！友坦之,2,9,0,0,0,302304,1,1,6800,0,0,2,0,200,0,0,0,战胜友坦之,0,202060,0,闯荡江湖,0
202060,激战！洪齐公,2,9,0,0,0,302307,1,1,6900,0,0,2,0,200,0,0,0,战胜洪齐公,0,202061,0,闯荡江湖,0
202061,激战！蓉儿,2,9,0,0,0,302308,1,1,7000,0,0,2,0,200,0,0,0,战胜蓉儿,0,202062,0,闯荡江湖,0
202062,激战！郭大侠,2,9,0,0,0,302309,1,1,7100,0,0,2,0,200,0,0,0,战胜郭大侠,0,202063,0,闯荡江湖,0
202063,激战！萧锋,2,9,0,0,0,302310,1,1,7200,0,0,2,0,200,0,0,0,战胜萧锋,0,202064,0,闯荡江湖,0
202064,激战！友坦之,2,9,0,0,0,302405,1,1,7300,0,0,2,0,200,0,0,0,战胜友坦之,0,202065,0,闯荡江湖,0
202065,激战！星宿老仙,2,9,0,0,0,302406,1,1,7400,0,0,2,0,200,0,0,0,战胜星宿老仙,0,202066,0,闯荡江湖,0
202066,激战！慕容富,2,9,0,0,0,302407,1,1,7500,0,0,2,0,200,0,0,0,战胜慕容富,0,202067,0,闯荡江湖,0
202067,激战！段公子,2,9,0,0,0,302408,1,1,7600,0,0,2,0,200,0,0,0,战胜段公子,0,202068,0,闯荡江湖,0
202068,激战！虚竺,2,9,0,0,0,302409,1,1,7700,0,0,2,0,200,0,0,0,战胜虚竺,0,202069,0,闯荡江湖,0
202069,激战！萧锋,2,9,0,0,0,302410,1,1,7800,0,0,2,0,200,0,0,0,战胜萧锋,0,202070,0,闯荡江湖,0
202070,激战！赵敏,2,9,0,0,0,302501,1,1,7900,0,0,2,0,200,0,0,0,战胜赵敏,0,202071,0,闯荡江湖,0
202071,激战！张教主,2,9,0,0,0,302502,1,1,8000,0,0,2,0,200,0,0,0,战胜张教主,0,202072,0,闯荡江湖,0
202072,激战！张教主,2,9,0,0,0,302503,1,1,8100,0,0,2,0,200,0,0,0,战胜张教主,0,202073,0,闯荡江湖,0
202073,激战！任莹莹,2,9,0,0,0,302504,1,1,8200,0,0,2,0,200,0,0,0,战胜任莹莹,0,202074,0,闯荡江湖,0
202074,激战！令狐少侠,2,9,0,0,0,302505,1,1,8300,0,0,2,0,200,0,0,0,战胜令狐少侠,0,202075,0,闯荡江湖,0
202075,激战！令狐少侠,2,9,0,0,0,302506,1,1,8400,0,0,2,0,200,0,0,0,战胜令狐少侠,0,202076,0,闯荡江湖,0
202076,激战！龙姑娘,2,9,0,0,0,302507,1,1,8500,0,0,2,0,200,0,0,0,战胜龙姑娘,0,202077,0,闯荡江湖,0
202077,激战！神雕侠,2,9,0,0,0,302508,1,1,8600,0,0,2,0,200,0,0,0,战胜神雕侠,0,202078,0,闯荡江湖,0
202078,激战！神雕侠,2,9,0,0,0,302509,1,1,8700,0,0,2,0,200,0,0,0,战胜神雕侠,0,202079,0,闯荡江湖,0
202079,激战！蓉儿,2,9,0,0,0,302510,1,1,8800,0,0,2,0,200,0,0,0,战胜蓉儿,0,202080,0,闯荡江湖,0
202080,激战！郭大侠,2,9,0,0,0,302511,1,1,8900,0,0,2,0,200,0,0,0,战胜郭大侠,0,202081,0,闯荡江湖,0
202081,激战！郭大侠,2,9,0,0,0,302512,1,1,9000,0,0,2,0,200,0,0,0,战胜郭大侠,0,202082,0,闯荡江湖,0
202082,激战！裘千仁,2,9,0,0,0,302601,1,1,9100,0,0,2,0,200,0,0,0,战胜裘千仁,0,202083,0,闯荡江湖,0
202083,激战！岳掌门,2,9,0,0,0,302602,1,1,9200,0,0,2,0,200,0,0,0,战胜岳掌门,0,202084,0,闯荡江湖,0
202084,激战！黄老邪,2,9,0,0,0,302603,1,1,9300,0,0,2,0,200,0,0,0,战胜黄老邪,0,202085,0,闯荡江湖,0
202085,激战！欧阳风,2,9,0,0,0,302604,1,1,9400,0,0,2,0,200,0,0,0,战胜欧阳风,0,202086,0,闯荡江湖,0
202086,激战！段皇爷,2,9,0,0,0,302605,1,1,9500,0,0,2,0,200,0,0,0,战胜段皇爷,0,202087,0,闯荡江湖,0
202087,激战！洪齐公,2,9,0,0,0,302606,1,1,9600,0,0,2,0,200,0,0,0,战胜洪齐公,0,202088,0,闯荡江湖,0
202088,激战！老顽童,2,9,0,0,0,302607,1,1,9700,0,0,2,0,200,0,0,0,战胜老顽童,0,202089,0,闯荡江湖,0
202089,激战！神雕侠,2,9,0,0,0,302608,1,1,9800,0,0,2,0,200,0,0,0,战胜神雕侠,0,202090,0,闯荡江湖,0
202090,激战！郭大侠,2,9,0,0,0,302609,1,1,9900,0,0,2,0,200,0,0,0,战胜郭大侠,0,202091,0,闯荡江湖,0
202091,激战！王真人,2,9,0,0,0,302610,1,1,10000,0,0,2,0,200,0,0,0,战胜王真人,0,0,0,闯荡江湖,0
203001,（精英)激战！左掌门,2,10,0,0,0,400106,1,1,2000,0,0,0,0,0,3,26,1,战胜精英难度的左掌门,0,203002,0,剑试天下,0
203002,（精英)激战！梅超枫,2,10,0,0,0,400205,1,1,3000,0,0,0,0,0,3,26,1,战胜精英难度的梅超枫,0,203003,0,剑试天下,0
203003,（精英)激战！穆念慈,2,10,0,0,0,400208,1,1,4000,0,0,0,0,0,3,26,1,战胜精英难度的穆念慈,0,203004,0,剑试天下,0
203004,（精英)激战！蓉儿,2,10,0,0,0,400209,1,1,5000,0,0,0,0,0,3,26,1,战胜精英难度的蓉儿,0,203005,0,剑试天下,0
203005,（精英)激战！钟玲,2,10,0,0,0,400306,1,1,6000,0,0,0,0,0,3,26,1,战胜精英难度的钟玲,0,203006,0,剑试天下,0
203006,（精英)激战！段公子,2,10,0,0,0,400310,1,1,7000,0,0,0,0,500,3,26,1,战胜精英难度的段公子,0,203007,0,剑试天下,0
203007,（精英)激战！柯惩恶,2,10,0,0,0,400406,1,1,8000,0,0,0,0,500,3,26,1,战胜精英难度的柯惩恶,0,203008,0,剑试天下,0
203008,（精英)激战！友坦之,2,10,0,0,0,400409,1,1,9000,0,0,0,0,500,3,26,1,战胜精英难度的友坦之,0,203009,0,剑试天下,0
203009,（精英)激战！裘千仁,2,10,0,0,0,400505,1,1,10000,0,0,0,0,500,3,26,1,战胜精英难度的裘千仁,0,203010,0,剑试天下,0
203010,（精英)激战！慕容富,2,10,0,0,0,400509,1,1,11000,0,0,0,0,500,3,26,1,战胜精英难度的慕容富,0,203011,0,剑试天下,0
203011,（精英)激战！玄悲,2,10,0,0,0,400604,1,1,12000,0,0,0,0,500,3,26,1,战胜精英难度的玄悲,0,203012,0,剑试天下,0
203012,（精英)激战！大轮明王,2,10,0,0,0,400609,1,1,13000,0,0,0,0,500,3,26,1,战胜精英难度的大轮明王,0,203013,0,剑试天下,0
203013,（精英)激战！丘处机,2,10,0,0,0,400705,1,1,14000,0,0,0,0,500,3,26,1,战胜精英难度的丘处机,0,203014,0,剑试天下,0
203014,（精英)激战！老顽童,2,10,0,0,0,400708,1,1,15000,0,0,0,0,500,3,26,1,战胜精英难度的老顽童,0,203015,0,剑试天下,0
203015,（精英)激战！王真人,2,10,0,0,0,400709,1,1,16000,0,0,0,0,500,3,26,1,战胜精英难度的王真人,0,203016,0,剑试天下,0
203016,（精英)激战！纪筱芙,2,10,0,0,0,400806,1,1,17000,0,0,0,0,500,3,26,1,战胜精英难度的纪筱芙,0,203017,0,剑试天下,0
203017,（精英)激战！莫愁仙子,2,10,0,0,0,400808,1,1,18000,0,0,0,0,500,3,26,1,战胜精英难度的莫愁仙子,0,203018,0,剑试天下,0
203018,（精英)激战！左掌门,2,10,0,0,0,400907,1,1,19000,0,0,0,0,500,3,26,1,战胜精英难度的左掌门,0,203019,0,剑试天下,0
203019,（精英)激战！岳掌门,2,10,0,0,0,400911,1,1,20000,0,0,0,0,500,3,26,1,战胜精英难度的岳掌门,0,203020,0,剑试天下,0
203020,（精英)激战！波斯圣女,2,10,0,0,0,401008,1,1,21000,0,0,0,0,500,3,26,1,战胜精英难度的波斯圣女,0,203021,0,剑试天下,0
203021,（精英)激战！张教主,2,10,0,0,0,401009,1,1,22000,0,0,0,0,500,3,26,1,战胜精英难度的张教主,0,203022,0,剑试天下,0
203022,（精英)激战！玄悲,2,10,0,0,0,401106,1,1,23000,0,0,0,0,500,3,26,1,战胜精英难度的玄悲,0,203023,0,剑试天下,0
203023,（精英)激战！成琨,2,10,0,0,0,401108,1,1,24000,0,0,0,0,500,3,26,1,战胜精英难度的成琨,0,203024,0,剑试天下,0
203024,（精英)激战！玄冥二老,2,10,0,0,0,401209,1,1,25000,0,0,0,0,500,3,26,1,战胜精英难度的玄冥二老,0,203025,0,剑试天下,0
203025,（精英)激战！赵敏,2,10,0,0,0,401210,1,1,26000,0,0,0,0,500,3,26,1,战胜精英难度的赵敏,0,203026,0,剑试天下,0
203026,（精英)激战！金仑法王,2,10,0,0,0,401304,1,1,27000,0,0,0,0,500,3,26,1,战胜精英难度的金仑法王,0,203027,0,剑试天下,0
203027,（精英)激战！大轮明王,2,10,0,0,0,401307,1,1,28000,0,0,0,0,500,3,26,1,战胜精英难度的大轮明王,0,203028,0,剑试天下,0
203028,（精英)激战！欧阳风,2,10,0,0,0,401310,1,1,29000,0,0,0,0,500,3,26,1,战胜精英难度的欧阳风,0,203029,0,剑试天下,0
203029,（精英)激战！裘千仁,2,10,0,0,0,401406,1,1,30000,0,0,0,0,500,3,26,1,战胜精英难度的裘千仁,0,203030,0,剑试天下,0
203030,（精英)激战！星宿老仙,2,10,0,0,0,401410,1,1,31000,0,0,0,0,500,3,26,1,战胜精英难度的星宿老仙,0,203031,0,剑试天下,0
203031,（精英)激战！友坦之,2,10,0,0,0,401506,1,1,32000,0,0,0,0,500,3,26,1,战胜精英难度的友坦之,0,203032,0,剑试天下,0
203032,（精英)激战！萧锋,2,10,0,0,0,401510,1,1,33000,0,0,0,0,500,3,26,1,战胜精英难度的萧锋,0,203033,0,剑试天下,0
203033,（精英)激战！金仑法王,2,10,0,0,0,401606,1,1,34000,0,0,0,0,500,3,26,1,战胜精英难度的金仑法王,0,203034,0,剑试天下,0
203034,（精英)激战！龙姑娘,2,10,0,0,0,401610,1,1,35000,0,0,0,0,500,3,26,1,战胜精英难度的龙姑娘,0,203035,0,剑试天下,0
203035,（精英)激战！向问天,2,10,0,0,0,401706,1,1,36000,0,0,0,0,500,3,26,1,战胜精英难度的向问天,0,203036,0,剑试天下,0
203036,（精英)激战！任莹莹,2,10,0,0,0,401708,1,1,37000,0,0,0,0,500,3,26,1,战胜精英难度的任莹莹,0,203037,0,剑试天下,0
