1,2,3,4,5,6,7,8,9,10
302202,60210,"我大烈阳刀终于练到第十重，这次不会失败了。",100,"没想到你还不死心，这次得好好教训教训你。",0,0,0,0,达摩智
302204,60207,"你害的我声名狼藉，难道就想这样算了么？",0,0,0,0,0,0,慕容富
302206,60406,"这位慕容公子是萧某的朋友，英雄为何要出口伤人。",100,"萧大侠有所不知，慕容富勾结外敌，准备匡扶大燕，是武林之害。",0,0,0,0,萧大王
302208,60207,"我复兴大燕的计划绝不会停止。",0,0,0,0,0,0,光复大燕
302209,60406,"原来慕容公子真是大燕子嗣，那也说明不了什么。",100,"那萧大侠是帮定那慕容富了？",0,0,0,0,萧氏父子
302210,60410,"阿弥陀佛，这藏经阁都被你搞的乱七八糟了。",0,0,0,0,0,0,扫地神僧
302304,100,"丐帮叛徒别走。",60107,"我本来就不是丐帮的人，我要找小紫姑娘去，你别拦我。",0,0,0,0,友坦之
302307,60304,"虽然英雄是一片好心，但是作为前任帮主，我老叫花子不能袖手旁观。",0,0,0,0,0,0,洪齐公
302308,60201,"上次你在桃花岛欺负我，这次又来丐帮大会捣乱，居心何在。",100,"黄姑娘，这一切都是误会。",60201,"哪有那么多误会，看招。",0,0,蓉儿
302309,60411,"蓉儿，我来了。",0,0,0,0,0,0,郭大侠
302310,60406,"这位英雄，上次萧某误会，实在对不起。大家许久不见不如来切磋一下吧。",100,"好，既然萧大侠邀请，我自当奉陪。",0,0,0,0,萧大王
302405,100,"上次已经放你一马了，怎么还来。",60107,"不找到小紫姑娘我是不会罢手的。",0,0,0,0,友坦之
302406,60204,"哈哈哈，这次我赢了你就做我徒儿吧。",100,"星宿老仙，这次绝不会放过你。",0,0,0,0,星宿老仙
302407,60207,"我要匡扶大燕！",100,"慕容富你都神志不清了，为何还执迷不悟。",0,0,0,0,慕容富
302408,60404,"这位英雄好久不见，我六道神剑已练成，再来切磋一下吧。",100,"好，再让我来见识一下六道神剑的威力。",0,0,0,0,段公子
302409,60405,"感谢施主上次点醒了我，这次我们来切磋切磋吧。",0,0,0,0,0,0,虚竺
302410,60406,"这次我三兄弟联手和英雄过几招。",0,0,0,0,0,0,三兄弟
302501,60208,"英雄好久不见。",0,0,0,0,0,0,敏敏郡主
302502,60401,"当年英雄为了救出我义父拼劲全力，我们也算是不打不相识。",100,"能认识张教主这样的大侠，也是一种福分。",0,0,0,0,张教主
302503,60401,"让我们再来打一架吧。",0,0,0,0,0,0,张教主
302504,60211,"妖女我又来了，英雄这次有何指教？",0,0,0,0,0,0,圣姑
302505,60403,"来和我们痛痛快快打一架，打赢了往事不再追究。",0,0,0,0,0,0,令狐少侠
302506,60403,"这次我和盈盈一起来跟你较量较量。",0,0,0,0,0,0,令狐少侠
302507,60301,"感谢英雄让我找到了过儿。",0,0,0,0,0,0,龙姑娘
302508,60402,"感谢英雄当年在全真教解救了龙儿。",100,"区区小事，何足挂齿。",0,0,0,0,扬过
302509,60402,"打完这场我就和姑姑回古墓去。",0,0,0,0,0,0,扬过
302510,60201,"之前的误会终于都消除了。",0,0,0,0,0,0,蓉儿
302511,100,"郭大侠镇守襄阳多年，在下相当佩服。",60411,"英雄一举瓦解了邪教，实乃侠之大者。",0,0,0,0,郭大侠
302512,60411,"英雄愿意和我一起镇守襄阳吗？",0,0,0,0,0,0,郭大侠
302601,100,"久闻铁掌门裘老前辈武功超群，还参加过第一次群侠比剑。",60107,"哼。",0,0,0,0,裘千仁
302602,60302,"五大剑派掌门是我的。",0,0,0,0,0,0,岳掌门
302603,60305,"今天的对手还挺多的么。",0,0,0,0,0,0,东药
302604,60306,"我是天下第一！",0,0,0,0,0,0,西诡
302605,60303,"我已出家为僧，本不应该来的。",0,0,0,0,0,0,南僧
302606,60304,"没想到你能战胜那个老毒物。",0,0,0,0,0,0,北乞
302607,60307,"小兄弟咱们好久不见，咱们再来痛痛快快打一架吧。",0,0,0,0,0,0,中不通
302608,60402,"哈哈，今天是我的最后一战。",0,0,0,0,0,0,西傲
302609,60411,"英雄居然能走到这一步，果然实力惊人。",0,0,0,0,0,0,北仁
302610,60407,"能赢过我，你就是天下第一了。",0,0,0,0,0,0,中真武
1,60409,没想到一个小兔崽子竟然敢坏我邪教大计！！,60409,想要挑战我的话就来江湖找我吧，我在天龙寺里等着你！！！,100,邪教教主东方菇凉已经逃去天龙寺了，现在就点击江湖赶去天龙寺追击她吧！,100,在追击东方菇凉的途中，记得每天点击左上角的任务按钮，看看有什么可以完成的任务。,东方菇凉
2,100,为了追踪东方姑娘，居然来到了几百里外的无量山。,60213,来者何人，竟敢踏足我无量山禁地！咳咳。。,100,掌门阁下，我等乃是为剿灭邪教而来。,60213,放肆，我等名门正派怎么会收留东方菇凉这种邪教之徒，看剑！,无量掌门
3,100,掌门阁下，刚才那一剑软绵无力，难道你被那邪教教主迷了心智。,60213,胡说什么，无量弟子听令，给我拦住他们！咳咳。。,0,0,0,0,无量掌门
