index,层数,侠客ID,LV,skill,SkillLv,攻击加成,防御加成,生命加成,元宝奖励,金钱奖励,道具包,卡牌包,江湖阅历,剑系特效,掌系特效,内系特效,暗系特效,棍系特效,下一层ID,单层失败卡牌包,单层失败元宝奖励,单层失败金钱奖励,单层失败道具包,单层失败江湖阅历
43,4,60001,12,50001,3,1328,1328,10741,0,1000,0,0,50,100,100,120,100,80,5,0,0,100,0,5
44,4,60002,12,50002,3,2139,1328,6640,0,1000,0,0,50,100,80,100,100,120,5,0,0,100,0,5
45,4,60003,12,50004,3,1824,1561,6916,0,1000,0,0,50,80,100,100,120,100,5,0,0,100,0,5
46,4,60004,12,50010,3,1561,1383,9119,0,1000,0,0,50,100,120,100,80,100,5,0,0,100,0,5
47,4,60005,12,50003,3,1824,1362,7727,0,1000,0,0,50,100,120,100,80,100,5,0,0,100,0,5
48,4,60006,12,50005,3,1383,1824,7803,0,1000,0,0,50,120,100,80,100,100,5,0,0,100,0,5
49,4,60101,12,50101,3,2974,2534,7619,0,1000,0,0,50,120,100,80,100,100,5,0,0,100,0,5
50,4,60102,12,50102,3,2635,2671,8583,0,1000,0,0,50,80,100,100,120,100,5,0,0,100,0,5
51,4,60103,12,0,3,3094,2185,8767,0,1000,0,0,50,100,120,100,80,100,5,0,0,100,0,5
52,4,60104,12,50103,3,2971,2191,9165,0,1000,0,0,50,100,100,120,100,80,5,0,0,100,0,5
53,4,60105,12,0,3,2497,2613,9379,0,1000,0,0,50,100,120,100,80,100,5,0,0,100,0,5
54,4,60106,12,50105,3,2980,1934,10404,0,1000,0,0,50,100,80,100,100,120,5,0,0,100,0,5
55,4,60107,12,50111,3,2883,1478,13158,0,1000,0,0,50,120,100,80,100,100,5,0,0,100,0,5
56,4,60108,12,50105,3,2020,2846,14229,0,1000,0,0,50,100,100,120,100,80,5,0,0,100,0,5
57,5,60001,15,50001,3,1473,1473,12177,0,10000,4004,0,50,100,100,120,100,80,6,0,0,100,0,5
58,5,60002,15,50002,3,2426,1473,7365,0,10000,4004,0,50,100,80,100,100,120,6,0,0,100,0,5
59,5,60003,15,50004,3,2045,1753,7688,0,10000,4004,0,50,80,100,100,120,100,6,0,0,100,0,5
60,5,60004,15,50010,3,1753,1538,10224,0,10000,4004,0,50,100,120,100,80,100,6,0,0,100,0,5
61,5,60005,15,50003,3,2026,1516,8733,0,10000,4004,0,50,100,120,100,80,100,6,0,0,100,0,5
62,5,60006,15,50005,3,1538,2045,8764,0,10000,4004,0,50,120,100,80,100,100,6,0,0,100,0,5
63,5,60101,15,50101,3,3395,2841,8718,0,10000,4004,0,50,120,100,80,100,100,6,0,0,100,0,5
64,5,60102,15,50102,3,2970,3100,9502,0,10000,4004,0,50,80,100,100,120,100,6,0,0,100,0,5
65,5,60103,15,0,3,3459,2574,9732,0,10000,4004,0,50,100,120,100,80,100,6,0,0,100,0,5
66,5,60104,15,50103,3,3475,2414,10224,0,10000,4004,0,50,100,100,120,100,80,6,0,0,100,0,5
67,5,60105,15,0,3,2878,2857,10947,0,10000,4004,0,50,100,120,100,80,100,6,0,0,100,0,5
68,5,60106,15,50105,3,3401,2174,11793,0,10000,4004,0,50,100,80,100,100,120,6,0,0,100,0,5
69,5,60107,15,50111,3,3367,1688,14376,0,10000,4004,0,50,120,100,80,100,100,6,0,0,100,0,5
70,5,60108,15,50105,3,2306,3229,16144,0,10000,4004,0,50,100,100,120,100,80,6,0,0,100,0,5
71,6,60001,18,50001,3,1619,1619,13627,0,1000,0,0,50,100,100,120,100,80,7,0,0,100,0,5
72,6,60002,18,50002,3,2716,1619,8096,0,1000,0,0,50,100,80,100,100,120,7,0,0,100,0,5
73,6,60003,18,50004,3,2268,1947,8467,0,1000,0,0,50,80,100,100,120,100,7,0,0,100,0,5
74,6,60004,18,50010,3,1947,1693,11340,0,1000,0,0,50,100,120,100,80,100,7,0,0,100,0,5
75,6,60005,18,50003,3,2231,1672,9749,0,1000,0,0,50,100,120,100,80,100,7,0,0,100,0,5
76,6,60006,18,50005,3,1693,2268,9734,0,1000,0,0,50,120,100,80,100,100,7,0,0,100,0,5
77,6,60101,18,50101,3,3819,3152,9826,0,1000,0,0,50,120,100,80,100,100,7,0,0,100,0,5
78,6,60102,18,50102,3,3309,3532,10429,0,1000,0,0,50,80,100,100,120,100,7,0,0,100,0,5
79,6,60103,18,0,3,3829,2966,10707,0,1000,0,0,50,100,120,100,80,100,7,0,0,100,0,5
80,6,60104,18,50103,3,3983,2639,11294,0,1000,0,0,50,100,100,120,100,80,7,0,0,100,0,5
81,6,60105,18,0,3,3263,3102,12530,0,1000,0,0,50,100,120,100,80,100,7,0,0,100,0,5
82,6,60106,18,50105,3,3825,2416,13194,0,1000,0,0,50,100,80,100,100,120,7,0,0,100,0,5
83,6,60107,18,50111,3,3856,1900,15605,0,1000,0,0,50,120,100,80,100,100,7,0,0,100,0,5
84,6,60108,18,50105,3,2596,3615,18077,0,1000,0,0,50,100,100,120,100,80,7,0,0,100,0,5
85,7,60001,21,50001,3,1767,1767,15090,0,1000,0,0,50,100,100,120,100,80,8,0,0,100,0,5
86,7,60002,21,50002,3,3009,1767,8834,0,1000,0,0,50,100,80,100,100,120,8,0,0,100,0,5
87,7,60003,21,50004,3,2493,2142,9253,0,1000,0,0,50,80,100,100,120,100,8,0,0,100,0,5
88,7,60004,21,50010,3,2142,1851,12467,0,1000,0,0,50,100,120,100,80,100,8,0,0,100,0,5
89,7,60005,21,50003,3,2437,1829,10774,0,1000,0,0,50,100,120,100,80,100,8,0,0,100,0,5
90,7,60006,21,50005,3,1851,2493,10712,0,1000,0,0,50,120,100,80,100,100,8,0,0,100,0,5
91,7,60101,21,50101,3,4248,3465,10945,0,1000,0,0,50,120,100,80,100,100,8,0,0,100,0,5
92,7,60102,21,50102,3,3651,3968,11364,0,1000,0,0,50,80,100,100,120,100,8,0,0,100,0,5
93,7,60103,21,0,3,4201,3363,11690,0,1000,0,0,50,100,120,100,80,100,8,0,0,100,0,5
94,7,60104,21,50103,3,4496,2866,12373,0,1000,0,0,50,100,100,120,100,80,8,0,0,100,0,5
95,7,60105,21,0,3,3651,3350,14128,0,1000,0,0,50,100,120,100,80,100,8,0,0,100,0,5
96,7,60106,21,50105,3,4254,2661,14609,0,1000,0,0,50,100,80,100,100,120,8,0,0,100,0,5
97,7,60107,21,50111,3,4350,2115,16845,0,1000,0,0,50,120,100,80,100,100,8,0,0,100,0,5
98,7,60108,21,50105,3,2888,4005,20027,0,1000,0,0,50,100,100,120,100,80,8,0,0,100,0,5
99,8,60001,24,50001,3,1916,1916,16567,0,1000,0,0,50,100,100,120,100,80,9,0,0,100,0,5
100,8,60002,24,50002,3,3304,1916,9578,0,1000,0,0,50,100,80,100,100,120,9,0,0,100,0,5
101,8,60003,24,50004,3,2721,2340,10046,0,1000,0,0,50,80,100,100,120,100,9,0,0,100,0,5
102,8,60004,24,50010,3,2340,2009,13603,0,1000,0,0,50,100,120,100,80,100,9,0,0,100,0,5
103,8,60005,24,50003,3,2646,1987,11809,0,1000,0,0,50,100,120,100,80,100,9,0,0,100,0,5
104,8,60006,24,50005,3,2009,2721,11700,0,1000,0,0,50,120,100,80,100,100,9,0,0,100,0,5
105,8,60101,24,50101,3,4680,3781,12074,0,1000,0,0,50,120,100,80,100,100,9,0,0,100,0,5
106,8,60102,24,50102,3,3997,4409,12308,0,1000,0,0,50,80,100,100,120,100,9,0,0,100,0,5
107,8,60103,24,0,3,4577,3763,12683,0,1000,0,0,50,100,120,100,80,100,9,0,0,100,0,5
108,8,60104,24,50103,3,5014,3095,13463,0,1000,0,0,50,100,100,120,100,80,9,0,0,100,0,5
109,8,60105,24,0,3,4044,3600,15740,0,1000,0,0,50,100,120,100,80,100,9,0,0,100,0,5
110,8,60106,24,50105,3,4686,2908,16037,0,1000,0,0,50,100,80,100,100,120,9,0,0,100,0,5
111,8,60107,24,50111,3,4848,2331,18096,0,1000,0,0,50,120,100,80,100,100,9,0,0,100,0,5
112,8,60108,24,50105,3,3182,4399,21996,0,1000,0,0,50,100,100,120,100,80,9,0,0,100,0,5
113,9,60001,27,50001,3,2066,2066,18058,0,1000,0,0,50,100,100,120,100,80,10,0,0,100,0,5
114,9,60002,27,50002,3,3602,2066,10330,0,1000,0,0,50,100,80,100,100,120,10,0,0,100,0,5
115,9,60003,27,50004,3,2950,2539,10847,0,1000,0,0,50,80,100,100,120,100,10,0,0,100,0,5
116,9,60004,27,50010,3,2539,2169,14750,0,1000,0,0,50,100,120,100,80,100,10,0,0,100,0,5
117,9,60005,27,50003,3,2856,2147,12854,0,1000,0,0,50,100,120,100,80,100,10,0,0,100,0,5
118,9,60006,27,50005,3,2169,2950,12697,0,1000,0,0,50,120,100,80,100,100,10,0,0,100,0,5
119,9,60101,27,50101,3,5116,4101,13214,0,1000,0,0,50,120,100,80,100,100,10,0,0,100,0,5
120,9,60102,27,50102,3,4345,4853,13261,0,1000,0,0,50,80,100,100,120,100,10,0,0,100,0,5
121,9,60103,27,0,3,4956,4166,13684,0,1000,0,0,50,100,120,100,80,100,10,0,0,100,0,5
122,9,60104,27,50103,3,5536,3326,14562,0,1000,0,0,50,100,100,120,100,80,10,0,0,100,0,5
123,9,60105,27,0,3,4439,3853,17368,0,1000,0,0,50,100,120,100,80,100,10,0,0,100,0,5
124,9,60106,27,50105,3,5123,3157,17478,0,1000,0,0,50,100,80,100,100,120,10,0,0,100,0,5
125,9,60107,27,50111,3,5351,2549,19359,0,1000,0,0,50,120,100,80,100,100,10,0,0,100,0,5
126,9,60108,27,50105,3,3480,4797,23983,0,1000,0,0,50,100,100,120,100,80,10,0,0,100,0,5
127,10,60001,30,50001,3,2218,2218,19562,0,20000,4004,0,50,100,100,120,100,80,11,0,0,100,0,5
128,10,60002,30,50002,3,3903,2218,11088,0,20000,4004,0,50,100,80,100,100,120,11,0,0,100,0,5
129,10,60003,30,50004,3,3182,2741,11655,0,20000,4004,0,50,80,100,100,120,100,11,0,0,100,0,5
130,10,60004,30,50010,3,2741,2331,15908,0,20000,4004,0,50,100,120,100,80,100,11,0,0,100,0,5
131,10,60005,30,50003,3,3068,2309,13907,0,20000,4004,0,50,100,120,100,80,100,11,0,0,100,0,5
132,10,60006,30,50005,3,2331,3182,13703,0,20000,4004,0,50,120,100,80,100,100,11,0,0,100,0,5
133,10,60101,30,50101,3,5557,4423,14364,0,20000,4004,0,50,120,100,80,100,100,11,0,0,100,0,5
134,10,60102,30,50102,3,4697,5301,14222,0,20000,4004,0,50,80,100,100,120,100,11,0,0,100,0,5
135,10,60103,30,0,3,5339,4574,14695,0,20000,4004,0,50,100,120,100,80,100,11,0,0,100,0,5
136,10,60104,30,50103,3,6064,3560,15671,0,20000,4004,0,50,100,100,120,100,80,11,0,0,100,0,5
137,10,60105,30,0,3,4838,4108,19010,0,20000,4004,0,50,100,120,100,80,100,11,0,0,100,0,5
138,10,60106,30,50105,3,5563,3408,18932,0,20000,4004,0,50,100,80,100,100,120,11,0,0,100,0,5
139,10,60107,30,50111,3,5859,2769,20633,0,20000,4004,0,50,120,100,80,100,100,11,0,0,100,0,5
140,10,60108,30,50105,3,3780,5198,25988,0,20000,4004,0,50,100,100,120,100,80,11,0,0,100,0,5
141,11,60101,33,50101,3,6001,4748,15524,0,1000,0,0,50,120,100,80,100,100,12,0,0,100,0,5
142,11,60102,33,50102,3,5051,5754,15192,0,1000,0,0,50,80,100,100,120,100,12,0,0,100,0,5
143,11,60103,33,0,3,5725,4985,15714,0,1000,0,0,50,100,120,100,80,100,12,0,0,100,0,5
144,11,60104,33,50103,3,6596,3795,16790,0,1000,0,0,50,100,100,120,100,80,12,0,0,100,0,5
145,11,60105,33,0,3,5241,4365,20667,0,1000,0,0,50,100,120,100,80,100,12,0,0,100,0,5
146,11,60106,33,50105,3,6007,3662,20398,0,1000,0,0,50,100,80,100,100,120,12,0,0,100,0,5
147,11,60107,33,50111,3,6371,2991,21918,0,1000,0,0,50,120,100,80,100,100,12,0,0,100,0,5
148,11,60108,33,50105,3,4083,5602,28010,0,1000,0,0,50,100,100,120,100,80,12,0,0,100,0,5
149,11,60201,33,50201,3,8352,7830,24877,0,1000,0,0,50,100,100,120,100,80,12,0,0,100,0,5
150,11,60202,33,50202,3,9552,6105,27536,0,1000,0,0,50,120,100,80,100,100,12,0,0,100,0,5
151,11,60203,33,50203,3,9868,5536,28722,0,1000,0,0,50,100,120,100,80,100,12,0,0,100,0,5
152,11,60204,33,50204,3,10388,5735,24497,0,1000,0,0,50,100,120,100,80,100,12,0,0,100,0,5
153,11,60205,33,50205,3,7837,8514,24038,0,1000,0,0,50,100,80,100,100,120,12,0,0,100,0,5
154,11,60206,33,50206,3,7837,5384,39689,0,1000,0,0,50,80,100,100,120,100,12,0,0,100,0,5
155,11,60207,33,50207,3,9489,5232,32758,0,1000,0,0,50,100,120,100,80,100,12,0,0,100,0,5
156,11,60208,33,50201,3,8299,7776,25431,0,1000,0,0,50,100,100,120,100,80,12,0,0,100,0,5
157,11,60209,33,50208,3,9647,4814,33470,0,1000,0,0,50,100,100,120,100,80,12,0,0,100,0,5
158,11,60210,33,50209,3,10350,5517,25969,0,1000,0,0,50,100,120,100,80,100,12,0,0,100,0,5
159,11,60211,33,0,3,7659,7640,29324,0,1000,0,0,50,100,120,100,80,100,12,0,0,100,0,5
160,11,60212,33,50211,3,9277,4463,36603,0,1000,0,0,50,120,100,80,100,100,12,0,0,100,0,5
161,11,60213,33,50212,3,9030,4463,37838,0,1000,0,0,50,120,100,80,100,100,12,0,0,100,0,5
162,12,60101,36,50101,3,6449,5075,16695,0,1000,0,0,50,120,100,80,100,100,13,0,0,100,0,5
163,12,60102,36,50102,3,5409,6211,16170,0,1000,0,0,50,80,100,100,120,100,13,0,0,100,0,5
164,12,60103,36,0,3,6115,5400,16743,0,1000,0,0,50,100,120,100,80,100,13,0,0,100,0,5
165,12,60104,36,50103,3,7133,4032,17919,0,1000,0,0,50,100,100,120,100,80,13,0,0,100,0,5
166,12,60105,36,0,3,5648,4624,22340,0,1000,0,0,50,100,120,100,80,100,13,0,0,100,0,5
167,12,60106,36,50105,3,6455,3918,21878,0,1000,0,0,50,100,80,100,100,120,13,0,0,100,0,5
168,12,60107,36,50111,3,6888,3215,23214,0,1000,0,0,50,120,100,80,100,100,13,0,0,100,0,5
169,12,60108,36,50105,3,4388,6010,30051,0,1000,0,0,50,100,100,120,100,80,13,0,0,100,0,5
170,12,60201,36,50201,3,9031,8373,26855,0,1000,0,0,50,100,100,120,100,80,13,0,0,100,0,5
171,12,60202,36,50202,3,10303,6525,29765,0,1000,0,0,50,120,100,80,100,100,13,0,0,100,0,5
172,12,60203,36,50203,3,10650,5943,30862,0,1000,0,0,50,100,120,100,80,100,13,0,0,100,0,5
173,12,60204,36,50204,3,11219,6163,26235,0,1000,0,0,50,100,120,100,80,100,13,0,0,100,0,5
174,12,60205,36,50205,3,8465,9165,25726,0,1000,0,0,50,100,80,100,100,120,13,0,0,100,0,5
175,12,60206,36,50206,3,8465,5819,42453,0,1000,0,0,50,80,100,100,120,100,13,0,0,100,0,5
176,12,60207,36,50207,3,10192,5610,35489,0,1000,0,0,50,100,120,100,80,100,13,0,0,100,0,5
177,12,60208,36,50201,3,8929,8357,27459,0,1000,0,0,50,100,100,120,100,80,13,0,0,100,0,5
178,12,60209,36,50208,3,10408,5152,36061,0,1000,0,0,50,100,100,120,100,80,13,0,0,100,0,5
179,12,60210,36,50209,3,11219,5838,28048,0,1000,0,0,50,100,120,100,80,100,13,0,0,100,0,5
180,12,60211,36,0,3,8230,8249,31514,0,1000,0,0,50,100,120,100,80,100,13,0,0,100,0,5
181,12,60212,36,50211,3,9960,4808,39496,0,1000,0,0,50,120,100,80,100,100,13,0,0,100,0,5
182,12,60213,36,50212,3,9731,4808,40640,0,1000,0,0,50,120,100,80,100,100,13,0,0,100,0,5
183,13,60101,39,50101,3,6901,5406,17876,0,1000,0,0,50,120,100,80,100,100,14,0,0,100,0,5
184,13,60102,39,50102,3,5770,6671,17157,0,1000,0,0,50,80,100,100,120,100,14,0,0,100,0,5
185,13,60103,39,0,3,6508,5818,17780,0,1000,0,0,50,100,120,100,80,100,14,0,0,100,0,5
186,13,60104,39,50103,3,7674,4272,19058,0,1000,0,0,50,100,100,120,100,80,14,0,0,100,0,5
187,13,60105,39,0,3,6058,4885,24026,0,1000,0,0,50,100,120,100,80,100,14,0,0,100,0,5
188,13,60106,39,50105,3,6908,4176,23371,0,1000,0,0,50,100,80,100,100,120,14,0,0,100,0,5
189,13,60107,39,50111,3,7409,3441,24522,0,1000,0,0,50,120,100,80,100,100,14,0,0,100,0,5
190,13,60108,39,50105,3,4697,6422,32110,0,1000,0,0,50,100,100,120,100,80,14,0,0,100,0,5
191,13,60201,39,50201,3,9716,8920,28851,0,1000,0,0,50,100,100,120,100,80,14,0,0,100,0,5
192,13,60202,39,50202,3,11061,6949,32014,0,1000,0,0,50,120,100,80,100,100,14,0,0,100,0,5
193,13,60203,39,50203,3,11438,6355,33020,0,1000,0,0,50,100,120,100,80,100,14,0,0,100,0,5
194,13,60204,39,50204,3,12058,6594,27988,0,1000,0,0,50,100,120,100,80,100,14,0,0,100,0,5
195,13,60205,39,50205,3,9099,9821,27429,0,1000,0,0,50,100,80,100,100,120,14,0,0,100,0,5
196,13,60206,39,50206,3,9099,6259,45241,0,1000,0,0,50,80,100,100,120,100,14,0,0,100,0,5
197,13,60207,39,50207,3,10901,5991,38244,0,1000,0,0,50,100,120,100,80,100,14,0,0,100,0,5
198,13,60208,39,50201,3,9566,8943,29506,0,1000,0,0,50,100,100,120,100,80,14,0,0,100,0,5
199,13,60209,39,50208,3,11176,5492,38675,0,1000,0,0,50,100,100,120,100,80,14,0,0,100,0,5
200,13,60210,39,50209,3,12096,6163,30145,0,1000,0,0,50,100,120,100,80,100,14,0,0,100,0,5
201,13,60211,39,0,3,8805,8863,33723,0,1000,0,0,50,100,120,100,80,100,14,0,0,100,0,5
202,13,60212,39,50211,3,10649,5157,42414,0,1000,0,0,50,120,100,80,100,100,14,0,0,100,0,5
203,13,60213,39,50212,3,10438,5157,43468,0,1000,0,0,50,120,100,80,100,100,14,0,0,100,0,5
204,14,60101,42,50101,3,7357,5739,19067,0,1000,0,0,50,120,100,80,100,100,15,0,0,100,0,5
205,14,60102,42,50102,3,6134,7136,18153,0,1000,0,0,50,80,100,100,120,100,15,0,0,100,0,5
206,14,60103,42,0,3,6905,6240,18827,0,1000,0,0,50,100,120,100,80,100,15,0,0,100,0,5
207,14,60104,42,50103,3,8221,4513,20207,0,1000,0,0,50,100,100,120,100,80,15,0,0,100,0,5
208,14,60105,42,0,3,6471,5149,25728,0,1000,0,0,50,100,120,100,80,100,15,0,0,100,0,5
209,14,60106,42,50105,3,7364,4436,24878,0,1000,0,0,50,100,80,100,100,120,15,0,0,100,0,5
210,14,60107,42,50111,3,7935,3669,25841,0,1000,0,0,50,120,100,80,100,100,15,0,0,100,0,5
211,14,60108,42,50105,3,5008,6837,34187,0,1000,0,0,50,100,100,120,100,80,15,0,0,100,0,5
212,14,60201,42,50201,3,10407,9473,30864,0,1000,0,0,50,100,100,120,100,80,15,0,0,100,0,5
213,14,60202,42,50202,3,11826,7377,34283,0,1000,0,0,50,120,100,80,100,100,15,0,0,100,0,5
214,14,60203,42,50203,3,12233,6770,35198,0,1000,0,0,50,100,120,100,80,100,15,0,0,100,0,5
215,14,60204,42,50204,3,12904,7030,29757,0,1000,0,0,50,100,120,100,80,100,15,0,0,100,0,5
216,14,60205,42,50205,3,9739,10484,29147,0,1000,0,0,50,100,80,100,100,120,15,0,0,100,0,5
217,14,60206,42,50206,3,9739,6702,48054,0,1000,0,0,50,80,100,100,120,100,15,0,0,100,0,5
218,14,60207,42,50207,3,11617,6375,41024,0,1000,0,0,50,100,120,100,80,100,15,0,0,100,0,5
219,14,60208,42,50201,3,10208,9534,31570,0,1000,0,0,50,100,100,120,100,80,15,0,0,100,0,5
220,14,60209,42,50208,3,11951,5836,41313,0,1000,0,0,50,100,100,120,100,80,15,0,0,100,0,5
221,14,60210,42,50209,3,12981,6491,32261,0,1000,0,0,50,100,120,100,80,100,15,0,0,100,0,5
222,14,60211,42,0,3,9386,9482,35952,0,1000,0,0,50,100,120,100,80,100,15,0,0,100,0,5
223,14,60212,42,50211,3,11344,5508,45357,0,1000,0,0,50,120,100,80,100,100,15,0,0,100,0,5
224,14,60213,42,50212,3,11152,5508,46320,0,1000,0,0,50,120,100,80,100,100,15,0,0,100,0,5
225,15,60101,45,50101,3,7817,6076,20269,0,30000,4004,0,50,120,100,80,100,100,16,0,0,100,0,5
226,15,60102,45,50102,3,6502,7605,19157,0,30000,4004,0,50,80,100,100,120,100,16,0,0,100,0,5
227,15,60103,45,0,3,7305,6666,19882,0,30000,4004,0,50,100,120,100,80,100,16,0,0,100,0,5
228,15,60104,45,50103,3,8772,4757,21366,0,30000,4004,0,50,100,100,120,100,80,16,0,0,100,0,5
229,15,60105,45,0,3,6889,5415,27445,0,30000,4004,0,50,100,120,100,80,100,16,0,0,100,0,5
230,15,60106,45,50105,3,7824,4699,26397,0,30000,4004,0,50,100,80,100,100,120,16,0,0,100,0,5
231,15,60107,45,50111,3,8466,3899,27171,0,30000,4004,0,50,120,100,80,100,100,16,0,0,100,0,5
232,15,60108,45,50105,3,5321,7256,36281,0,30000,4004,0,50,100,100,120,100,80,16,0,0,100,0,5
233,15,60201,45,50201,3,11104,10030,32895,0,30000,4004,0,50,100,100,120,100,80,16,0,0,100,0,5
234,15,60202,45,50202,3,12597,7808,36572,0,30000,4004,0,50,120,100,80,100,100,16,0,0,100,0,5
235,15,60203,45,50203,3,13035,7189,37394,0,30000,4004,0,50,100,120,100,80,100,16,0,0,100,0,5
236,15,60204,45,50204,3,13758,7469,31541,0,30000,4004,0,50,100,120,100,80,100,16,0,0,100,0,5
237,15,60205,45,50205,3,10385,11152,30879,0,30000,4004,0,50,100,80,100,100,120,16,0,0,100,0,5
238,15,60206,45,50206,3,10385,7150,50891,0,30000,4004,0,50,80,100,100,120,100,16,0,0,100,0,5
239,15,60207,45,50207,3,12339,6763,43828,0,30000,4004,0,50,100,120,100,80,100,16,0,0,100,0,5
240,15,60208,45,50201,3,10855,10130,33653,0,30000,4004,0,50,100,100,120,100,80,16,0,0,100,0,5
241,15,60209,45,50208,3,12732,6182,43973,0,30000,4004,0,50,100,100,120,100,80,16,0,0,100,0,5
242,15,60210,45,50209,3,13874,6821,34395,0,30000,4004,0,50,100,120,100,80,100,16,0,0,100,0,5
243,15,60211,45,0,3,9972,10107,38200,0,30000,4004,0,50,100,120,100,80,100,16,0,0,100,0,5
244,15,60212,45,50211,3,12045,5863,48327,0,30000,4004,0,50,120,100,80,100,100,16,0,0,100,0,5
