1,2,3,4,5
4,11,9,0,2000
4,12,3,14,2
4,13,5,0,20000
4,14,3,26,5
4,15,3,25,2
4,16,1,60006,1
4,17,9,0,3000
4,18,3,14,3
4,19,5,0,30000
4,20,3,26,5
4,21,4,0,200
4,22,3,25,3
4,23,1,60001,1
4,24,9,0,4000
4,25,3,14,5
4,26,5,0,40000
4,27,3,26,5
4,28,1,60006,1
4,29,1,60001,1
4,30,4,0,1000
5,1,1,10104,1
5,2,1,208,1
5,3,3,26,5
5,4,9,0,1000
5,5,3,14,1
5,6,5,0,10000
5,7,4,0,100
5,8,1,20204,1
5,9,1,60001,1
5,10,3,26,5
5,11,9,0,2000
5,12,3,14,2
5,13,5,0,20000
5,14,3,26,5
5,15,3,25,2
5,16,1,60006,1
5,17,9,0,3000
5,18,3,14,3
5,19,5,0,30000
5,20,3,26,5
5,21,4,0,200
5,22,3,25,3
5,23,1,60001,1
5,24,9,0,4000
5,25,3,14,5
5,26,5,0,40000
5,27,3,26,5
5,28,1,60006,1
5,29,1,60001,1
5,30,4,0,1000
6,1,1,10104,1
6,2,1,208,1
6,3,3,26,5
6,4,9,0,1000
6,5,3,14,1
6,6,5,0,10000
6,7,4,0,100
6,8,1,20204,1
6,9,1,60001,1
6,10,3,26,5
6,11,9,0,2000
6,12,3,14,2
6,13,5,0,20000
6,14,3,26,5
6,15,3,25,2
6,16,1,60006,1
6,17,9,0,3000
6,18,3,14,3
6,19,5,0,30000
6,20,3,26,5
6,21,4,0,200
6,22,3,25,3
6,23,1,60001,1
6,24,9,0,4000
6,25,3,14,5
6,26,5,0,40000
6,27,3,26,5
6,28,1,60006,1
6,29,1,60001,1
6,30,4,0,1000
7,1,1,10104,1
7,2,1,208,1
7,3,3,26,5
7,4,9,0,1000
7,5,3,14,1
7,6,5,0,10000
7,7,4,0,100
7,8,1,20204,1
7,9,1,60001,1
7,10,3,26,5
7,11,9,0,2000
7,12,3,14,2
7,13,5,0,20000
7,14,3,26,5
7,15,3,25,2
7,16,1,60006,1
7,17,9,0,3000
7,18,3,14,3
7,19,5,0,30000
7,20,3,26,5
7,21,4,0,200
7,22,3,25,3
7,23,1,60001,1
7,24,9,0,4000
7,25,3,14,5
7,26,5,0,40000
7,27,3,26,5
7,28,1,60006,1
7,29,1,60001,1
7,30,4,0,1000
8,1,1,10104,1
8,2,1,208,1
8,3,3,26,5
8,4,9,0,1000
8,5,3,14,1
8,6,5,0,10000
8,7,4,0,100
8,8,1,20204,1
8,9,1,60001,1
8,10,3,26,5
8,11,9,0,2000
8,12,3,14,2
8,13,5,0,20000
8,14,3,26,5
8,15,3,25,2
8,16,1,60006,1
8,17,9,0,3000
8,18,3,14,3
8,19,5,0,30000
8,20,3,26,5
8,21,4,0,200
8,22,3,25,3
8,23,1,60001,1
8,24,9,0,4000
8,25,3,14,5
8,26,5,0,40000
8,27,3,26,5
8,28,1,60006,1
8,29,1,60001,1
8,30,4,0,1000
9,1,1,10104,1
9,2,1,208,1
9,3,3,26,5
9,4,9,0,1000
9,5,3,14,1
9,6,5,0,10000
9,7,4,0,100
9,8,1,20204,1
9,9,1,60001,1
9,10,3,26,5
9,11,9,0,2000
9,12,3,14,2
9,13,5,0,20000
9,14,3,26,5
9,15,3,25,2
9,16,1,60006,1
9,17,9,0,3000
9,18,3,14,3
9,19,5,0,30000
9,20,3,26,5
9,21,4,0,200
9,22,3,25,3
9,23,1,60001,1
9,24,9,0,4000
9,25,3,14,5
9,26,5,0,40000
9,27,3,26,5
9,28,1,60006,1
9,29,1,60001,1
9,30,4,0,1000
10,1,1,10104,1
10,2,1,208,1
10,3,3,26,5
10,4,9,0,1000
10,5,3,14,1
10,6,5,0,10000
10,7,4,0,100
10,8,1,20204,1
10,9,1,60001,1
10,10,3,26,5
10,11,9,0,2000
10,12,3,14,2
10,13,5,0,20000
10,14,3,26,5
10,15,3,25,2
10,16,1,60006,1
10,17,9,0,3000
10,18,3,14,3
10,19,5,0,30000
10,20,3,26,5
10,21,4,0,200
10,22,3,25,3
10,23,1,60001,1
10,24,9,0,4000
10,25,3,14,5
10,26,5,0,40000
10,27,3,26,5
10,28,1,60006,1
10,29,1,60001,1
10,30,4,0,1000
11,1,1,10104,1
11,2,1,208,1
11,3,3,26,5
11,4,9,0,1000
11,5,3,14,1
11,6,5,0,10000
11,7,4,0,100
11,8,1,20204,1
11,9,1,60001,1
11,10,3,26,5
11,11,9,0,2000
11,12,3,14,2
11,13,5,0,20000
11,14,3,26,5
11,15,3,25,2
11,16,1,60006,1
11,17,9,0,3000
11,18,3,14,3
11,19,5,0,30000
11,20,3,26,5
11,21,4,0,200
11,22,3,25,3
11,23,1,60001,1
11,24,9,0,4000
11,25,3,14,5
11,26,5,0,40000
11,27,3,26,5
11,28,1,60006,1
11,29,1,60001,1
11,30,4,0,1000
12,1,1,10104,1
12,2,1,208,1
12,3,3,26,5
12,4,9,0,1000
12,5,3,14,1
12,6,5,0,10000
12,7,4,0,100
12,8,1,20204,1
12,9,1,60001,1
12,10,3,26,5
12,11,9,0,2000
12,12,3,14,2
12,13,5,0,20000
12,14,3,26,5
12,15,3,25,2
12,16,1,60006,1
12,17,9,0,3000
12,18,3,14,3
12,19,5,0,30000
12,20,3,26,5
12,21,4,0,200
12,22,3,25,3
12,23,1,60001,1
12,24,9,0,4000
12,25,3,14,5
12,26,5,0,40000
12,27,3,26,5
12,28,1,60006,1
12,29,1,60001,1
12,30,4,0,1000
