lv,explain,精力,体力,好友数
88,恭喜升到88级，精力体力已经恢复，记得去任务领奖哦！,107,49,30
89,恭喜升到89级，精力体力已经恢复，记得去任务领奖哦！,108,49,30
90,恭喜升到90级，精力体力已经恢复，记得去任务领奖哦！,109,50,30
91,恭喜升到91级，精力体力已经恢复，记得去任务领奖哦！,110,50,30
92,恭喜升到92级，精力体力已经恢复，记得去任务领奖哦！,111,50,30
93,恭喜升到93级，精力体力已经恢复，记得去任务领奖哦！,112,51,30
94,恭喜升到94级，精力体力已经恢复，记得去任务领奖哦！,113,51,30
95,恭喜升到95级，精力体力已经恢复，记得去任务领奖哦！,114,51,30
96,恭喜升到96级，精力体力已经恢复，记得去任务领奖哦！,115,52,30
97,恭喜升到97级，精力体力已经恢复，记得去任务领奖哦！,116,52,30
98,恭喜升到98级，精力体力已经恢复，记得去任务领奖哦！,117,52,30
99,恭喜升到99级，精力体力已经恢复，记得去任务领奖哦！,118,53,30
100,恭喜升到100级，精力体力已经恢复，记得去任务领奖哦！,119,53,30
101,恭喜升到101级，精力体力已经恢复，记得去任务领奖哦！,120,53,30
102,恭喜升到102级，精力体力已经恢复，记得去任务领奖哦！,121,54,30
103,恭喜升到103级，精力体力已经恢复，记得去任务领奖哦！,122,54,30
104,恭喜升到104级，精力体力已经恢复，记得去任务领奖哦！,123,54,30
105,恭喜升到105级，精力体力已经恢复，记得去任务领奖哦！,124,55,30
106,恭喜升到106级，精力体力已经恢复，记得去任务领奖哦！,125,55,30
107,恭喜升到107级，精力体力已经恢复，记得去任务领奖哦！,126,55,30
108,恭喜升到108级，精力体力已经恢复，记得去任务领奖哦！,127,56,30
109,恭喜升到109级，精力体力已经恢复，记得去任务领奖哦！,128,56,30
110,恭喜升到110级，精力体力已经恢复，记得去任务领奖哦！,129,56,30
111,恭喜升到111级，精力体力已经恢复，记得去任务领奖哦！,130,57,30
112,恭喜升到112级，精力体力已经恢复，记得去任务领奖哦！,131,57,30
113,恭喜升到113级，精力体力已经恢复，记得去任务领奖哦！,132,57,30
114,恭喜升到114级，精力体力已经恢复，记得去任务领奖哦！,133,58,30
115,恭喜升到115级，精力体力已经恢复，记得去任务领奖哦！,134,58,30
116,恭喜升到116级，精力体力已经恢复，记得去任务领奖哦！,135,58,30
117,恭喜升到117级，精力体力已经恢复，记得去任务领奖哦！,136,59,30
118,恭喜升到118级，精力体力已经恢复，记得去任务领奖哦！,137,59,30
119,恭喜升到119级，精力体力已经恢复，记得去任务领奖哦！,138,59,30
120,恭喜升到120级，精力体力已经恢复，记得去任务领奖哦！,139,60,30
121,恭喜升到121级，精力体力已经恢复，记得去任务领奖哦！,140,60,30
122,恭喜升到122级，精力体力已经恢复，记得去任务领奖哦！,141,60,30
123,恭喜升到123级，精力体力已经恢复，记得去任务领奖哦！,142,61,30
124,恭喜升到124级，精力体力已经恢复，记得去任务领奖哦！,143,61,30
125,恭喜升到125级，精力体力已经恢复，记得去任务领奖哦！,144,61,30
126,恭喜升到126级，精力体力已经恢复，记得去任务领奖哦！,145,62,30
127,恭喜升到127级，精力体力已经恢复，记得去任务领奖哦！,146,62,30
128,恭喜升到128级，精力体力已经恢复，记得去任务领奖哦！,147,62,30
129,恭喜升到129级，精力体力已经恢复，记得去任务领奖哦！,148,63,30
130,恭喜升到130级，精力体力已经恢复，记得去任务领奖哦！,149,63,30
131,恭喜升到131级，精力体力已经恢复，记得去任务领奖哦！,150,63,30
132,恭喜升到132级，精力体力已经恢复，记得去任务领奖哦！,151,64,30
133,恭喜升到133级，精力体力已经恢复，记得去任务领奖哦！,152,64,30
134,恭喜升到134级，精力体力已经恢复，记得去任务领奖哦！,153,64,30
135,恭喜升到135级，精力体力已经恢复，记得去任务领奖哦！,154,65,30
136,恭喜升到136级，精力体力已经恢复，记得去任务领奖哦！,155,65,30
137,恭喜升到137级，精力体力已经恢复，记得去任务领奖哦！,156,65,30
138,恭喜升到138级，精力体力已经恢复，记得去任务领奖哦！,157,66,30
139,恭喜升到139级，精力体力已经恢复，记得去任务领奖哦！,158,66,30
140,恭喜升到140级，精力体力已经恢复，记得去任务领奖哦！,159,66,30
141,恭喜升到141级，精力体力已经恢复，记得去任务领奖哦！,160,67,30
142,恭喜升到142级，精力体力已经恢复，记得去任务领奖哦！,161,67,30
143,恭喜升到143级，精力体力已经恢复，记得去任务领奖哦！,162,67,30
144,恭喜升到144级，精力体力已经恢复，记得去任务领奖哦！,163,68,30
145,恭喜升到145级，精力体力已经恢复，记得去任务领奖哦！,164,68,30
146,恭喜升到146级，精力体力已经恢复，记得去任务领奖哦！,165,68,30
147,恭喜升到147级，精力体力已经恢复，记得去任务领奖哦！,166,69,30
148,恭喜升到148级，精力体力已经恢复，记得去任务领奖哦！,167,69,30
149,恭喜升到149级，精力体力已经恢复，记得去任务领奖哦！,168,69,30
150,恭喜升到150级，精力体力已经恢复，记得去任务领奖哦！,169,70,30
151,恭喜升到151级，精力体力已经恢复，记得去任务领奖哦！,170,70,30
